	Arg	gold
3718	who declines declare international public health emergency coronavirus outbreak	' too early ' declare coronavirus outbreak international emergency coronavirusoutbreak
3719	who extends emergency talks new coronavirus outbreak	' too early ' declare coronavirus outbreak international emergency coronavirusoutbreak
3720	who making mistake declaring public heath emergency wuhancoronavirus coronavirusoutbreak	breaking wuhan coronavirus
3721	who manufactured	who manufactured
3722	who official	officials
3723	who official smartnews	who official smartnews
3724	who officials	officials
3725	who representative beijing	who representative beijing
3726	who says	who
3727	who says coronavirus outbreak ' global emergency ' foxbusiness	' too early ' declare coronavirus outbreak international emergency coronavirusoutbreak
3728	who situation	situation
3729	who statement 1.4 2.5 line recent estimates wuhan illnesse who holds ncov emergency declaration cases soar past 600 also @cepivaccines promotes vaccine developmen	wuhan coronavirus
3730	whole city	entire city
3731	whole city 's publi	whole city 's publi
3732	whole day	whole day
3733	whole truth	whole truth
3734	whole truth cancel chinese new	whole truth cancel chinese new
3735	whooping cough vaccine	vaccines
3736	whooping cough vaccine causing bordetella pertussis mutation	bordetella pertussis mutation learntherisk
3737	whose epidemic worse	whose epidemic worse
3738	why	why
3739	widespread	widespread
3740	widespread disruptions usually massive travel lunar new year	widespread disruptions usually massive travel lunar new year
3741	wife	wife
3742	wild animals	wild animals
3743	wild animals covering leaking problem p4	wild animals covering leaking problem p4
3744	wild china	unprecedented china
3745	wildlife market	wildlife market
3746	wildlife menu wuhan	wildlife menu wuhan
3747	wildlife wuhan market	wildlife menu wuhan
3748	will crisis	crisis
3749	with a global epidemic	of epidemic that could kill over 30 million people
3750	wolf pup	wolf pup
3751	wolf pups	wolf pup
3752	wolves	wolf pup
3753	wolves rats	rats
3754	wolves rats eat	rats
3755	wolves rats eat china	wolves rats eat china
3756	woman	she
3757	woman begging	woman begging
3758	woman begging help hospital overwhelmed anxious patients china	hospital hubei china jam - packed patients
3759	woman carried ambulance fully protected medical staff near de	woman carried ambulance fully protected medical staff near de
3760	woman devouring bat amid coronavirus outbreak	woman devouring bat amid coronavirus outbreak
3761	woman devouring bat amid coronavirus outbreak via @nypost	woman devouring bat amid coronavirus outbreak
3762	women	women
3763	women babies	women babies
3764	women take vitamin folic acid becoming pregnant throughout pregnanc	women take vitamin folic acid becoming pregnant throughout pregnanc
3765	wonder it appears chinese gov wiped evidence first case scene cdc can	china cdc identify source
3766	wonder united states would	wonder united states would
3767	word china	unprecedented china
3768	word china saying coronavirusoutbreak	chinese fear authorities withholding information coronavirus outbreak
3769	word new surface disinfectant effective	disinfectants
3770	words	words
3771	work	work
3772	work local state resources monitor wuhan coronavirus campus	first case wuhan coronavirus united states what employers need know @ogletreedeakins
3773	work publication	work publication
3774	work publication care pregnant women freetown ebola outbr	work publication care pregnant women freetown ebola outbr
3775	work site begin even rainy conditions workers work round th	work site begin even rainy conditions workers work round th
3776	work together	work together
3777	work world ’s dangerous pathogens	study dangerous pathogens
3778	workers	workers employers
3779	workers employers	workers employers
3780	worl	hel
3781	world	world
3782	world	world
3783	world 's dangerous pathogens article	study dangerous pathogens
3784	world 's deadliest diseases	the world 's most dangerous pathogens
3785	world airports	atlanta airport
3786	world dark deadly outbreak	world dark deadly outbreak
3787	world health organi	world health organization
3788	world health organisation	world health organization
3789	world health organisation intermediate ho	world health organization
3790	world health organization	world health organization
3791	world health organization committee	world health organization
3792	world infest	world infest
3793	world wide epidemic	's aidswatch
3794	worried contracting wuhan coronavirus	wuhan coronavirus
3795	worried coronavirus	fears coronavirus outbreak
3796	worried lisa 's health	worried lisa 's health
3797	worse	10 times worse
3798	worse flu	flu
3799	worsening viral outbreak	worsening viral outbreak
3800	worst hiv aids	whose epidemic worse
3801	wotus	wotus
3802	wotus loosens regulation clean water acts	regulation clean water acts
3803	would	i likely would
3804	would say	would say
3805	wth wrong	wth wrong
3806	wuhan	wuhan
3807	wuhan ' infected ' individual	wuhan ' infected ' individual
3808	wuhan 's train station metal barriers blocked entrance	wuhan 's train station metal barriers blocked entrance
3809	wuhan - chinese city centre	wuhan china
3810	wuhan 2019-ncov virus least three groups	coronavirus ncov
3811	wuhan 2019ncov undergone homologous recombination within spike glycoprotein	wuhan 2019ncov undergone homologous recombination within spike glycoprotein
3812	wuhan @who	@ericrubinlab wuhan virus
3813	wuhan airport people	travelers wuhan american airports
3814	wuhan assignment use	city wuhan
3815	wuhan china	wuhan china
3816	wuhan china brazos county texas tested coronavirus	wuhan china brazos county texas tested coronavirus
3817	wuhan china coronavirus origi	wuhan coronavirus
3818	wuhan china emerging rapidly evolving si	wuhan china
3819	wuhan china emerging rapidly evolving situation	city wuhan
3820	wuhan china flu-	patients infected wuhan
3821	wuhan china mexican tap water	wuhan china mexican tap water
3822	wuhan china virus	wuhan virus
3823	wuhan chinese city	wuhan china
3824	wuhan chinese scientists	city wuhan
3825	wuhan cities	wuhan
3826	wuhan cities china	wuhan china
3827	wuhan citizens	wuhan people
3828	wuhan city 11 million people complete	huanggang next wuhan population 7 million shut transportatio
3829	wuhan city china	wuhan china
3830	wuhan coron	regarding wuhan coron
3831	wuhan coronavirus	wuhan coronavirus
3832	wuhan coronavirus blamed bat soup pics	chinese people eating bats as experts link animal coronavirus outbreak
3833	wuhan coronavirus campus	wuhan coronavirus campus
3834	wuhan coronavirus cases stands	suspected case wuhan coronavirus
3835	wuhan coronavirus cases stands 622 611 mainland china	wuhan coronavirus
3836	wuhan coronavirus chart	wuhan coronavirus
3837	wuhan coronavirus lockdown cities	police city quarantined china wuhan coronavirus
3838	wuhan coronavirus outbreak	wuhan coronavirus
3839	wuhan coronavirus patients transported boxes plastic tubes stop deadly di	wuhan coronavirus patients transported boxes plastic tubes stop deadly di
3840	wuhan coronavirus public	breaking wuhan coronavirus
3841	wuhan coronavirus quarantine	wuhan coronavirus
3842	wuhan coronavirus sealed city ’s residents	police city quarantined china wuhan coronavirus
3843	wuhan coronavirus update	breaking wuhan coronavirus
3844	wuhan coronavirus us	suspected case wuhan coronavirus
3845	wuhan coronavirusoutbreak	breaking wuhan coronavirus
3846	wuhan cover coronavirus ground made run left city right befo	wuhan cover coronavirus ground made run left city right befo
3847	wuhan drivers passengers	153 passengers wuhan their basis
3848	wuhan escapees thing	wuhan escapees thing
3849	wuhan food emporium epicenter coronavirus epidemic rats civets live wolf pups	wuhan coronavirus
3850	wuhan hospital	several wuhan hospitals
3851	wuhan hubei province	wuhan china
3852	wuhan hubei province thursday af	17 hubei province wuhan city
3853	wuhan impeachmenthearings	wuhan impeachmenthearings
3854	wuhan laboratory accidental release i familiar similar incedent	wuhan laboratory accidental release i familiar similar incedent
3855	wuhan larger population nyc	wuhan larger population nyc
3856	wuhan lax passenger	passengers arriving hong kong international airport hong kong 9 ja
3857	wuhan lockdown	wuhan lockdown
3858	wuhan market coronavirusoutbreak	breaking wuhan coronavirus
3859	wuhan medical staff infected much faster pace reported	infected medical practitioners almost major hospitals wuhan
3860	wuhan outbreak this means became big cover	patients infected wuhan
3861	wuhan people	wuhan people
3862	wuhan people struggling safety medical resources	breaking the patient recently traveled wuhan china illness
3863	wuhan prayforwuhan hongkongprotests wuhancoronavirus	wuhan virus
3864	wuhan quarantine	patients infected wuhan
3865	wuhan quarantine lockdown	patients infected wuhan
3866	wuhan quarantine lockdown beijing	police city quarantined china wuhan coronavirus
3867	wuhan quarantine lockdown beijing tries	police city quarantined china wuhan coronavirus
3868	wuhan quarantine lockdown beijing tries contain	police city quarantined china wuhan coronavirus
3869	wuhan quarantine lockdown beijing tries contain deadly outbreak	police city quarantined china wuhan coronavirus
3870	wuhan quickly zoonotic viruses go infecting one person impacting millions lives	wuhan virus
3871	wuhan residents	wuhan people
3872	wuhan scotland	wuhan china
3873	wuhan sheng province central china	wuhan china
3874	wuhan think i got check	wuhan think i got check
3875	wuhan toilet	wuhan toilet
3876	wuhan train station officials	one wuhan 's main stations
3877	wuhan tryi	get wuhan tryi
3878	wuhan villagers	wuhan people
3879	wuhan virus	wuhan virus
3880	wuhan virus - hk wuhanpneumonia coronavirus	wuhan virus
3881	wuhan virus bats like ebola	wuhan virus bats like ebola
3882	wuhan virus biological attack china	wuhan virus
